Type,Title,Address1,City,State,Zip,Latitude,Longitude,PrimaryPhone,BuildingType
Building,Alaska Regional Hospital,2801 DeBarr Road,Anchorage,AK,99508,61.2098054,-149.8292001,(907) 276-1131,[Hospital]
Building,Angel Medical Center,120 Riverview Street,Franklin,NC,28734,35.184467,-83.379413,(828) 524-8411,[Hospital]
Building,Aventura Hospital and Medical Center,20900 Biscayne Blvd,Aventura,FL,33180,25.96994,-80.14533,(305) 682-7000,[Hospital]
Building,Bayview Behavioral Hospital,6629 Wooldridge Road,Corpus Christi,TX,78414,27.6816095,-97.3598424,(361) 986-8200,[Hospital]
Building,Belton Regional Medical Center,17065 S. 71 Highway,Belton,MO,64012,38.815236,-94.502538,(816) 348-1200,"[ER, Hospital]"
Building,Blake Medical Center,2020 59th St West,Bradenton,FL,34209,27.48233,-82.6236295,(941) 792-6611,[Hospital]
Building,Blue Ridge Regional Hospital,125 Hospital Drive,Spruce Pine,NC,28777,35.910967,-82.063088,(828) 765-4201,[Hospital]
Building,Brandon Regional Hospital,119 Oakfield Dr,Brandon,FL,33511,27.932589,-82.28759,(813) 681-5551,[Hospital]
Building,Brigham City Community Hospital,950 S. Medical Dr.,Brigham City,UT,84302,41.4910974,-112.0256159,(435) 734-9471,[Hospital]
Building,Cache Valley Hospital,2380 North 400 East,North Logan,UT,84341,41.7757651,-111.821316,(435) 713-9700,[Hospital]
Building,Capital Regional Medical Center,2626 Capital Medical Blvd,Tallahassee,FL,32308,30.475977,-84.231864,(850) 325-5000,[Hospital]
Building,CarePartners Rehabilitation Hospital,68 Sweeten Creek Rd.,Ashville,NC,28803,35.5616311,-82.53188639999996,(828) 277-4800,[Hospital]
Building,Cartersville Medical Center,960 Joe Frank Harris Parkway,Cartersville,GA,30120,34.199897,-84.793783,(770) 382-1530,[ER]
Building,Centerpoint Medical Center,19600 East 39th Street,Independence,MO,64057,39.0494374,-94.3488139,(816) 698-7000,"[ER, Hospital]"
Building,Central Florida Regional Hospital,1401 West Seminole Blvd,Sanford,FL,32771,28.8146209,-81.2836352,(407) 321-4500,[Hospital]
Building,Chippenham Hospital,7101 Jahnke Rd,Richmond,VA,23225,37.515683,-77.526097,(804) 320-3911,[Hospital]
Building,Citrus Memorial Hospital,502 W. Highland Blvd,Inverness,FL,34452,28.833633,-82.335609,(352) 726-1551,[Hospital]
Building,Coliseum Medical Centers,350 Hospital Dr,Macon,GA,31217,32.8472566,-83.61792939999998,(478) 765-7000,[Hospital]
Building,Coliseum Northside Hospital,400 Charter Blvd,Macon,GA,31210,32.8715199,-83.69453169999997,,[Hospital]
Building,Colleton Medical Center,501 Robertson Blvd,Walterboro,SC,29488,32.923153,-80.6698399,(843) 782-2000,[Hospital]
Building,Corpus Christi Medical Center - Bay Area,7101 S. Padre Island Dr,Corpus Christi,TX,78412,27.693184,-97.34514,(361) 761-1000,"[ER, Hospital]"
Building,Corpus Christi Medical Center - Doctors Regional,3315 S. Alameda St,Corpus Christi,TX,78411,27.752965,-97.388635,(361) 761-1000,"[ER, Hospital]"
Building,Corpus Christi Medical Center - Northwest Regional,13725 Northwest Blvd,Corpus Christi,TX,78410,27.855245,-97.636163,(361) 761-1000,[ER]
Building,Corpus Christi Medical Center - The Heart Hospital,7002 Williams Dr,Corpus Christi,TX,78412,27.692915,-97.345644,(361) 761-1000,[Hospital]
Building,Del Sol Medical Center,10301 Gateway Blvd W,El Paso,TX,79925,31.7567818,-106.35039799999998,(915) 595-9000,[Hospital]
Building,Doctors Hospital of Augusta,3651 Wheeler Rd,Augusta,GA,30909,33.4829589,-82.0901977,(706) 651-3232,[Hospital]
Building,Doctors Hospital of Sarasota,5731 Bee Ridge Rd,Sarasota,FL,34233,27.301873,-82.454281,(941) 342-1100,[Hospital]
Building,Dominion Hospital,2960 Sleepy Hollow Rd,Falls Church,VA,22044,38.870074,-77.1583743,(703) 538-2872,[Hospital]
Building,Eastern Idaho Regional Medical Center,3100 Channing Way,Idaho Falls,ID,83404,43.4701735,-111.9914279,(208) 529-6111,[Hospital]
Building,Eastside Medical Center,1700 Medical Way,Snellville,GA,30078,33.8775974,-84.0222429,(770) 979-0200,[ER]
Building,Englewood Community Hospital,700 Medical Blvd,Englewood,FL,34223,26.949964,-82.326506,(941) 475-6571,[Hospital]
Building,Fairview Park Hospital,200 Industrial Boulevard,Dublin,GA,31021,32.5402485,-82.957456,(478) 275-2000,[Hospital]
Building,Fawcett Memorial Hospital,21298 Olean Blvd,Port Charlotte,FL,33952,26.9886299,-82.0983963,(941) 629-1181,[Hospital]
Building,Fort Walton Beach Medical Center,1000 Mar Walt Dr,Ft Walton Beach,FL,32547,30.454478,-86.633621,(850) 862-1111,[Hospital]
Building,Frankfort Regional Medical Center,299 Kings Daughters Dr,Frankfort,KY,40601,38.1601975,-84.9051892,(502) 875-5240,[Hospital]
Building,Frisbie Memorial Hospital,11 Whitehall Road,Rochester,NH,03867,43.29793840000001,-70.9607815,(603) 332-5211,[Hospital]
Building,Good Samaritan Hospital,2425 Samaritan Dr,San Jose,CA,95124,37.2520715,-121.9463305,(408) 559-2011,[Hospital]
Building,Grand Strand Medical Center,809 82nd Parkway,Myrtle Beach,SC,29572,33.7585214,-78.8201676,(843) 692-1000,[Hospital]
Building,Gulf Coast Regional Medical Center,449 W 23rd St,Panama City,FL,32405,30.186569,-85.665132,(850) 769-8341,[Hospital]
Building,HCA Houston Healthcare Clear Lake,500 Medical Center Blvd,Webster,TX,77598,29.54145,-95.12768,(281) 332-2511,"[ER, Hospital]"
Building,HCA Houston Healthcare Conroe,504 Medical Center Blvd,Conroe,TX,77304,30.2849592,-95.4672245,(936) 539-1111,"[ER, Hospital]"
Building,HCA Houston Healthcare Kingwood,22999 US Hwy 59 N,Kingwood,TX,77339,30.0499551,-95.254548,(281) 348-8000,"[ER, Hospital]"
Building,HCA Houston Healthcare Mainland,6801 Emmett F. Lowry Expressway,Texas City,TX,77591,29.3937789,-94.9868214,(409) 938-5000,"[ER, Hospital]"
Building,HCA Houston Healthcare Medical Center,1313 Hermann Dr,Houston,TX,77004,29.72272,-95.3875429,(713) 527-5000,[Hospital]
Building,HCA Houston Healthcare North Cypress,21214 NW Freeway,Cypress,TX,77429,29.9257621,-95.63150180000002,(832) 912-3500,[Hospital]
Building,HCA Houston Healthcare Northwest,710 Cypress Creek Parkway,Houston,TX,77090,30.0205897,-95.442608,(281) 440-1000,[Hospital]
Building,HCA Houston Healthcare Pearland,11100 Shadow Creek Pkwy,Pearland,TX,77584,29.5772374,-95.3888285,(713) 770-7000,"[ER, Hospital]"
Building,HCA Houston Healthcare Southeast,4000 Spencer Highway,Pasadena,TX,77504,29.6612101,-95.183799,(713) 359-2000,"[ER, Hospital]"
Building,HCA Houston Healthcare Tomball,605 Holderrieth Blvd,Tomball,TX,77375,30.0874052,-95.6236163,(281) 401-7500,[Hospital]
Building,HCA Houston Healthcare West,12141 Richmond Avenue,Houston,TX,77082,29.729133,-95.59429,(281) 558-3444,"[ER, Hospital]"
Building,Heart Hospital of Austin,3801 N Lamar Blvd,Austin,TX,78756,30.3058458,-97.7411572,(512) 407-7000,[Hospital]
Building,Henrico Doctors' Hospital,1602 Skipwith Rd,Richmond,VA,23229,37.6045913,-77.5392873,(804) 289-4500,[Hospital]
Building,Highlands Regional Medical Center,3600 S. Highlands Ave.,Sebring,FL,33870,27.4656135,-81.4329631,(863) 385-6101,[Hospital]
Building,Highlands-Cashiers Hospital,190 Hospital Drive,Highlands,NC,28741,35.085886,-83.18726700000002,(828) 526-1200,[Hospital]
Building,JFK Medical Center,5301 S Congress Ave,Atlantis,FL,33462,26.5986046,-80.0915388,(561) 965-7300,[Hospital]
Building,JFK Medical Center - North Campus,2201 45th St,West Palm Beach,FL,33407,26.7619368,-80.0876123,(561) 842-6141,[Hospital]
Building,John Randolph Medical Center,411 West Randolph Rd,Hopewell,VA,23860,37.3070611,-77.2915085,(804) 541-1600,[Hospital]
Building,Johnston-Willis Hospital,1401 Johnston-Willis Dr,Richmond,VA,23235,37.5106901,-77.59463769999999,(804) 483-5000,[Hospital]
Building,Kendall Regional Medical Center,11750 SW 40 St,Miami,FL,33175,25.7306736,-80.38576394,(305) 223-3000,[Hospital]
Building,Lafayette Regional Health Center,1500 State Street,Lexington,MO,64067,39.1891475,-93.8762631,(660) 259-2203,"[ER, Hospital]"
Building,Lake City Medical Center,340 NW Commerce Dr,Lake City,FL,32055,30.1839838,-82.6863478,(386) 719-9000,[Hospital]
Building,Lakeview Hospital,630 E Medical Dr,Bountiful,UT,84010,40.885915,-111.869012,(801) 299-2200,[Hospital]
Building,Lakeview Regional Medical Center,95 Judge Tanner Blvd,Covington,LA,70433,30.4098426,-90.0802557,(985) 867-3800,"[ER, Hospital]"
Building,Largo Medical Center,201 14th St SW,Largo,FL,33770,27.9153067,-82.8040624,(727) 588-5200,[Hospital]
Building,Las Palmas Del Sol Healthcare,1801 N Oregon St,El Paso,TX,79902,31.7699621,-106.4990287,(915) 521-1200,[Hospital]
Building,Lawnwood Regional Medical Center,1700 S 23rd St,Fort Pierce,FL,34950,27.431963,-80.345928,(772) 461-4000,[Hospital]
Building,Lee's Summit Medical Center,2100 SE Blue Parkway,Lee's Summit,MO,64063,38.90359,-94.3330751,(816) 282-5000,"[ER, Hospital]"
Building,LewisGale Hospital Alleghany,1 ARH Ln,Low Moor,VA,24457,37.7911347,-79.8826878,(540) 862-6879,[Hospital]
Building,LewisGale Hospital Montgomery,3700 S Main St,Blacksburg,VA,24060,37.1878,-80.4111,(540) 951-1111,[Hospital]
Building,LewisGale Hospital Pulaski,2400 Lee Hwy,Pulaski,VA,24301,37.068132,-80.756851,(540) 994-8509,[Hospital]
Building,LewisGale Medical Center,1900 Electric Rd,Salem,VA,24153,37.263689,-80.031392,(540) 776-4000,[Hospital]
Building,London Bridge Hospital,27 Tooley St,London,SE1,2PR,51.5061888,-0.0859172000000398,44.20.7407.3100,[Hospital]
Building,Lone Peak Hospital,11925 S State St,Draper,UT,84020,40.5370115,-111.891402,(801) 545-8000,[Hospital]
Building,Los Robles Hospital & Medical Center,215 West Janss Rd,Thousand Oaks,CA,91360,34.2069857,-118.8831028,(805) 497-2727,[Hospital]
Building,Medical Center of Trinity,9330 State Rd 54,Trinity,FL,34655,28.204224,-82.660511,(727) 834-4000,[Hospital]
Building,Medical City Alliance,3101 N Tarrant Pkwy,Fort Worth,TX,76177,32.9001739,-97.3132691,(817) 639-1000,[Hospital]
Building,Medical City Arlington,3301 Matlock Rd,Arlington,TX,76015,32.6931143,-97.1130553,(817) 465-3241,[Hospital]
Building,Medical City Children's Hospital,7777 Forest Lane,Dallas,TX,75230,32.9113863,-96.7743424,(972) 566-7000,[Hospital]
Building,Medical City Dallas,7777 Forest Ln,Dallas,TX,75230,32.9113863,-96.7743424,(972) 566-7000,[Hospital]
Building,Medical City Denton,3535 S Interstate 35,Denton,TX,76210,33.1822586,-97.100676,(940) 384-3535,[Hospital]
Building,Medical City Fort Worth,900 Eighth Ave,Fort Worth,TX,76104,32.7359412,-97.3452198,(817) 877-5292,[Hospital]
Building,Medical City Frisco,5500 Frisco Square Blvd,Frisco,TX,75034,33.1508324,-96.8387808,(214) 618-0500,[Hospital]
Building,Medical City Green Oaks,7808 Clodus Fields Dr,Dallas,TX,75251,32.9128472,-96.7715146,(972) 991-9504,"[Behavioral_Health, Hospital]"
Building,Medical City Las Colinas,6800 N MacArthur Blvd,Irving,TX,75039,32.9010772,-96.9574019,(972) 969-2000,[Hospital]
Building,Medical City Lewisville,500 W Main St,Lewisville,TX,75057,33.0454279,-97.0047288,(972) 420-1000,[Hospital]
Building,Medical City McKinney,4500 Medical Center Dr,McKinney,TX,75069,33.1595129,-96.6385548,(972) 547-8000,[Hospital]
Building,Medical City North Hills,4401 Booth Calloway Rd,North Richland Hills,TX,76180,32.82985,-97.21384,(817) 255-1000,[Hospital]
Building,Medical City Plano,3901 West 15th St,Plano,TX,75075,33.021679,-96.766206,(972) 596-6800,[Hospital]
Building,Medical City Weatherford,713 East Anderson Street,Weatherford,TX,76086,32.7481906,-97.78564970000002,(682) 582-1000,[Hospital]
Building,Memorial Health University Medical Center,4700 Waters Ave,Savannah,GA,31404,32.029986,-81.08948450000003,(912) 350-8000,[Hospital]
Building,Memorial Hospital Jacksonville,3625 University Blvd. S,Jacksonville,FL,32216,30.2884116,-81.602005,(904) 702-6111,[Hospital]
Building,Memorial Hospital of Tampa,2901 Swann Ave,Tampa,FL,33609,27.938048,-82.489902,(813) 873-6400,[Hospital]
Building,Memorial Satilla Health,1900 Tebeau St,Waycross,GA,31501,31.2242304,-82.3479087,(912) 283-3030,[Hospital]
Building,Menorah Medical Center,5721 W. 119th Street,Overland Park,KS,66209,38.9101407,-94.6524854,(913) 498-6000,"[ER, Hospital]"
Building,Mercy Hospital - Miami,3663 S Miami Ave,Miami,FL,33133,25.740666,-80.212475,(305) 854-4400,[Hospital]
Building,Methodist Children's Hospital,7700 Floyd Curl Dr,San Antonio,TX,78229,29.507141,-98.571194,(210) 575-7000,[ER]
Building,Methodist Heart Hospital,7700 Floyd Curl Dr,San Antonio,TX,78229,29.507786,-98.572644,(210) 575-6800,[Hospital]
Building,Methodist Hospital,7700 Floyd Curl Dr,San Antonio,TX,78229,29.508336,-98.571838,(210) 575-4000,[ER]
Building,Methodist Hospital | Ambulatory Surgery,9150 Huebner Rd,San Antonio,TX,78240,29.52747,-98.59484,(210) 575-5000,[Hospital]
Building,Methodist Hospital | Metropolitan,1310 McCullough Ave,San Antonio,TX,78212,29.44138,-98.49106,(210) 757-2200,[Hospital]
Building,Methodist Hospital | Northeast,12412 Judson Rd,Live Oak,TX,78233,29.55207,-98.34707,(210) 757-7000,[Hospital]
Building,Methodist Hospital | South,1905 Hwy 97,East Jourdanton,TX,78026,28.9331124,-98.52603520000002,(830) 769-3515,[Hospital]
Building,Methodist Hospital | Specialty and Transplant,8026 Floyd Curl Dr,San Antonio,TX,78229,29.511864,-98.577934,(210) 575-8110,[Hospital]
Building,Methodist Hospital | Stone Oak,1139 E Sonterra Blvd,San Antonio,TX,78258,29.61635,-98.47467,(210) 638-2000,[Hospital]
Building,Methodist Hospital | Texsan,6700 IH 10 West,San Antonio,TX,78201,29.489824,-98.546961,(210) 736-6700,[Hospital]
Building,Mission Hospital,509 Biltmore Avenue,Asheville,NC,28801,35.576583,-82.549222,(828) 213-1111,[Hospital]
Building,Mission Hospital McDowell,430 Rankin Drive,Marion,NC,28752,35.6633499,-82.02828269999998,(828) 659-5000,[Hospital]
Building,Moncks Corner Medical Center,"401 N Live Oak Dr, Hwy 17-A",Moncks Corner,SC,29461,33.1960027,-80.0131374,(843) 761-8742,[Hospital]
Building,Mountain View Hospital - Payson,1000 E 100 N,Payson,UT,84651,40.043844,-111.7146217,(801) 465-7000,[Hospital]
Building,MountainView Hospital,3100 N Tenaya Way,Las Vegas,NV,89128,36.2156114,-115.2490872,(702) 962-5000,[Hospital]
Building,North Florida Regional Medical Center,6500 W Newberry Rd,Gainesville,FL,32605,29.6603042,-82.4115721,(352) 333-4000,[Hospital]
Building,North Suburban Medical Center,9191 Grant Street,Thornton,CO,80229,39.8636115,-104.9855352,(303) 451-7800,"[ER, Hospital]"
Building,Northside Hospital,6000 49th St North,St. Petersburg,FL,33709,27.8257979,-82.7023462,(727) 521-4411,[Hospital]
Building,Northwest Medical Center,2801 North State Rd 7,Margate,FL,33063,26.2630939,-80.2030465,(954) 974-0400,[Hospital]
Building,Oak Hill Hospital,11375 Cortez Blvd,Brooksville,FL,34613,28.53585,-82.534039,(352) 596-6632 (Hernando),[Hospital]
Building,Ocala Regional Medical Center,1431 SW 1st Ave,Ocala,FL,34471,29.176033,-82.137297,(352) 401-1000,[Hospital]
Building,Ogden Regional Medical Center,5475 S 500 E,Ogden,UT,84405,41.1642583,-111.9688707,(801) 479-2111,[Hospital]
Building,Orange Park Medical Center,2001 Kingsley Avenue,Orange Park,FL,32073,30.166333,-81.737949,(904) 639-8500,[Hospital]
Building,Osceola Regional Medical Center,700 West Oak St,Kissimmee,FL,34741,28.2996231,-81.4097325,(407) 846-2266,[Hospital]
Building,Overland Park Regional Medical Center,10500 Quivira Road,Overland Park,KS,66215,38.9376333,-94.7263007,(913) 541-5000,"[ER, Hospital]"
Building,Oviedo Medical Center,8300 Red Bug Lake Rd,Oviedo,FL,32765,28.657883,-81.2280533,(407) 890-2273,[Hospital]
Building,Palms of Pasadena,1501 Pasadena Ave,St. Petersburg,FL,33707,27.7530147,-82.7400301,(727) 381-1000,[Hospital]
Building,Palms West Hospital,13001 Southern Blvd,Loxahatchee,FL,33470,26.6842194,-80.2520355,(561) 798-3300,[Hospital]
Building,Parham Doctors' Hospital,7700 East Parham Rd,Richmond,VA,23294,37.6331141,-77.5252618,(804) 747-5600,"[Behavioral_Health, ER, Hospital]"
Building,Parkland Medical Center,1 Parkland Dr,Derry,NH,3038,42.8758495,-71.3175747,(603) 432-1500,[Hospital]
Building,Parkridge East Hospital,941 Spring Creek Rd,Chattanooga,TN,37412,34.998737,-85.218966,(423) 894-7870,[ER]
Building,Parkridge Medical Center,2333 McCallie Ave,Chattanooga,TN,37404,35.034666,-85.267349,(423) 698-6061,[ER]
Building,Parkridge Valley Hospital,2200 Morris Hill Rd,Chattanooga,TN,37421,35.0268039,-85.12128439999998,(423) 837-3350,[Hospital]
Building,Parkridge West Hospital,1000 Tennessee 28,Jasper,TN,37347,35.045808,-85.629768,(423) 837-9500,"[ER, Hospital, Medical_Office_Building]"
Building,Plantation General Hospital,401 NW 42 Ave,Plantation,FL,33317,26.126471,-80.205179,(954) 587-5010,[Hospital]
Building,Poinciana Medical Center,325 Cypress Pkwy,Kissimmee,FL,34758,28.1426847,-81.475373,(407) 530-2000,[Hospital]
Building,Portsmouth Regional Hospital,333 Borthwick Ave,Portsmouth,NH,3801,43.0648425,-70.7904183,(603) 436-5110,[Hospital]
Building,Presbyterian/St. Luke's Medical Center,1719 East 19th Ave,Denver,CO,80218,39.7471816,-104.9666818,(303) 839-6000,"[ER, Hospital]"
Building,Princess Grace Hospital,42-52 Nottingham Pl,London,W1U,5NY,51.52267190000001,-0.1529963000000407,44.020.3130.6833,[Hospital]
Building,Putnam Community Medical Center,611 Zeagler Dr,Palatka,FL,32177,29.642376,-81.692871,(386) 328-5711,[Hospital]
Building,Rapides Regional Medical Center,211 4th St,Alexandria,LA,71301,31.315065,-92.449774,(318) 769-3000,"[ER, Hospital]"
Building,Raulerson Hospital,1796 Hwy 441 North,Okeechobee,FL,34972,27.259828,-80.828549,(863) 763-2151,[Hospital]
Building,Redmond Regional Medical Center,501 Redmond Rd,Rome,GA,30165,34.277911,-85.195026,(706) 291-0291,"[ER, Hospital]"
Building,Regional Medical Center Bayonet Point,14000 Fivay Rd,Hudson,FL,34667,28.3612813,-82.6888277,(727) 819-2929,[Hospital]
Building,Regional Medical Center of San Jose,225 North Jackson Ave,San Jose,CA,95116,37.362568,-121.849745,(408) 259-5000,[Hospital]
Building,Research Medical Center,2316 E Meyer Blvd,Kansas City,MO,64132,39.0084782,-94.5580436,(816) 276-4000,"[ER, Hospital]"
Building,Reston Hospital Center,1850 Town Center Pkwy,Reston,VA,20190,38.9620961,-77.3641967,(703) 689-9000,[Hospital]
Building,Retreat Doctors' Hospital,2621 Grove Ave,Richmond,VA,23220,37.553758,-77.472943,(804) 254-5100,[Hospital]
Building,Rio Grande Regional Hospital Main Campus,101 East Ridge Road,McAllen,TX,78503,26.1864096,-98.2209667,(956) 632-6000,"[ER, Hospital]"
Building,Riverside Community Hospital,4445 Magnolia Ave,Riverside,CA,92501,33.9766676,-117.3810428,(951) 788-3000,[Hospital]
Building,Rocky Mountain Hospital for Children,2001 N. High Street,Denver,CO,80205,39.7471816,-104.9666818,(720) 754-1000,"[ER, Hospital]"
Building,Rose Medical Center,4567 E. 9th Ave,Denver,CO,80220,39.732308,-104.933961,(303) 320-2121,"[ER, Hospital]"
Building,Sky Ridge Medical Center,10101 RidgeGate Pkwy,Lone Tree,CO,80124,39.5292432,-104.874115,(720) 225-1000,"[ER, Hospital]"
Building,South Bay Hospital,4016 Sun City Center Blvd,Sun City Center,FL,33573,27.713499,-82.365123,(813) 634-3301,[Hospital]
Building,Southern Hills Hospital & Medical Center,9300 W Sunset Rd,Las Vegas,NV,89148,36.072163,-115.295384,(702) 880-2100,[Hospital]
Building,Spalding Rehabilitation Hospital,900 Potomac St.,Aurora,CO,80011,39.731093,-104.827403,(303) 367-1166,[Rehabilitation_Center]
Building,Spotsylvania Regional Medical Center,4600 Spotsylvania Pkwy,Fredericksburg,VA,22408,38.2197743,-77.5020187,(540) 498-4000,[Hospital]
Building,St Mark's Hospital,1200 E 3900 S,Salt Lake City,UT,84124,40.6863334,-111.857471,(801) 268-7111,[Hospital]
Building,St. David's Children's Hospital,12221 North Mopac Expwy,Austin,TX,78758,30.411395,-97.706156,(512) 901-1000,[Hospital]
Building,St. David's Georgetown Hospital,2000 Scenic Dr,Georgetown,TX,78626,30.6263501,-97.688614,(512) 943-3000,[Hospital]
Building,St. David's Medical Center,919 E 32nd St,Austin,TX,78704,30.2901369,-97.726208,(512) 476-7111,[Hospital]
Building,St. David's North Austin Medical Center,12221 N. Mopac Expwy,Austin,TX,78704,30.411395,-97.706156,(512) 901-1000,[Hospital]
Building,St. David's Round Rock Medical Center,2400 Round Rock Ave,Round Rock,TX,78681,30.5111188,-97.7136984,(512) 341-1000,[Hospital]
Building,St. David's South Austin Medical Center,901 W. Ben White Blvd,Austin,TX,78704,30.2263703,-97.7743428,(512) 447-2211,[Hospital]
Building,St. Lucie Medical Center,1800 SE Tiffany Ave,St Lucie,FL,34952,27.288608,-80.294307,(772) 335-4000,[Hospital]
Building,St. Petersburg General Hospital,6500 38th Ave N,St. Petersburg,FL,33710,27.805409,-82.726936,(727) 384-1414,[Hospital]
Building,StoneSprings Hospital Center,24440 Stone Springs Blvd,Dulles,VA,20166,38.9403164,-77.5405665,(571) 349-4000,[Hospital]
Building,Summerville Medical Center,295 Midland Pkwy,Summerville,SC,29485,32.9655168,-80.1577077,(843) 832-5000,[Hospital]
Building,Sunrise Children's Hospital,3186 S Maryland Pkwy,Las Vegas,NV,89109,36.1331968,-115.1359053,(702) 731-5437,[Hospital]
Building,Sunrise Hospital & Medical Center,3186 S Maryland Pkwy,Las Vegas,NV,89109,36.1331968,-115.1359053,(702) 731-8000,[Hospital]
Building,Swedish Medical Center,501 East Hampden Ave,Englewood,CO,80113,39.6541278,-104.9815827,(303) 788-5000,"[ER, Hospital]"
Building,"Tampa Community Hospital, A Campus of Memorial Hospital of Tampa",6001 Webb Rd,Tampa,FL,33615,28.002367,-82.5730899,(813) 888-7060,[Hospital]
Building,Terre Haute Regional Hospital,3901 S 7th St,Terre Haute,IN,47802,39.4196339,-87.4068465,(812) 232-0021,[Hospital]
Building,Texas Orthopedic Hospital,7401 South Main Street,Houston,TX,77030,29.7011596,-95.4089823,(713) 799-8600,[Hospital]
Building,The Children's Hospital at TriStar Centennial,2221 Murphy Ave,Nashville,TN,37203,36.153561,-86.807119,(615) 342-1000,[Childrens_Hospital]
Building,The Harley Street Clinic,35 Weymouth St.,London,W1G,8BJ,51.5203766,-0.1480269999999564,"44.20,3131.7479",[Hospital]
Building,The Lister Hospital,Chelsea Bridge Rd.,London,SW1W,8RH,51.4861562,-0.1503036000000293,44.020.7730.7733,[Hospital]
Building,The Medical Center of Aurora,1501 S. Potomac Street,Aurora,CO,80012,39.6900823,-104.8323774,(303) 695-2600,"[ER, Hospital]"
Building,The Portland Hospital,205-209 Great Portland St.,London,W1W,5AH,51.5230545,-0.1444206999999551,020.7580.4400,[Hospital]
Building,The Woman's Hospital of Texas,7600 Fannin,Houston,TX,77054,29.694008,-95.402484,(713) 790-1234,[Hospital]
Building,Timpanogos Regional Hospital,750 W 800 N,Orem,UT,84057,40.312067,-111.7138752,(801) 714-6000,[Hospital]
Building,Transylvania Regional Hospital,260 Hospital Drive,Brevard,NC,28712,35.2568533,-82.71392259999999,(828) 884-9111,[Hospital]
Building,Trident Medical Center,9330 Medical Plz Dr,Charleston,SC,29406,32.9760056,-80.072865,(843) 797-7000,[Hospital]
Building,TriStar Ashland City Medical Center,313 North Main St,Ashland City,TN,37015,36.277225,-87.065431,(615) 792-3030,"[ER, Hospital]"
Building,TriStar Centennial Medical Center,2300 Patterson St,Nashville,TN,37203,36.1536347,-86.8100519,(615) 342-1000,"[ER, Hospital]"
Building,TriStar Centennial Parthenon Pavilion,2401 Parman Place,Nashville,TN,37203,36.1528249,-86.8104154,(615) 342-1400,[Hospital]
Building,TriStar Greenview Regional Hospital,1801 Ashley Cir,Bowling Green,KY,42104,36.966953,-86.4368277,(270) 793-1000,[ER]
Building,TriStar Hendersonville Medical Center,355 New Shackle Island Rd,Hendersonville,TN,37075,36.324427,-86.6230439,(615) 338-1000,[ER]
Building,TriStar Horizon Medical Center,111 Highway 70 East,Dickson,TN,37055,36.073741,-87.375777,(615) 446-0446,[ER]
Building,TriStar Skyline Madison Campus,500 Hospital Dr,Madison,TN,37115,36.2530957,-86.6821181,(615) 769-5000,[Hospital]
Building,TriStar Skyline Medical Center,3441 Dickerson Pike,Nashville,TN,37207,36.244397,-86.752037,(615) 769-2000,[ER]
Building,TriStar Southern Hills Medical Center,391 Wallace Road,Nashville,TN,37211,36.076453,-86.722013,(615) 781-4000,[ER]
Building,TriStar StoneCrest Medical Center,200 StoneCrest Boulevard,Smyrna,TN,37167,35.9751019,-86.5668793,(615) 768-2000,[ER]
Building,TriStar Summit Medical Center,5655 Frist Blvd,Hermitage,TN,37076,36.176236,-86.608716,(615) 316-3000,[ER]
Building,Tulane Lakeside Hospital,4700 South I-10 Service Rd W,Metairie,LA,70001,29.997225,-90.1862482,(504) 780-8282,"[ER, Hospital]"
Building,Tulane Medical Center,1415 Tulane Ave,New Orleans,LA,70112,29.9557828,-90.0762827,(504) 988-5263,"[ER, Hospital]"
Building,Twin Cities Hospital,2190 Hwy 85 N,Niceville,FL,32578,30.5335439,-86.4955846,(850) 678-4131,[Hospital]
Building,University Hospital & Medical Center,7201 North University Dr,Tamarac,FL,33321,26.2131339,-80.257063,(954) 721-2200,[Hospital]
Building,Valley Regional Medical Center,100-A Alton Gloor Blvd,Brownsville,TX,78526,25.9780329,-97.5147262,(956) 350-7000,"[ER, Hospital]"
Building,Wesley Children's Hospital,550 N. Hillside St,Wichita,KS,67214,37.6952735,-97.2977831,(316) 962-2000,[Childrens_Hospital]
Building,Wesley Medical Center,550 N. Hillside St,Wichita,KS,67214,37.6952735,-97.2977831,(316) 962-2000,[Hospital]
Building,Wesley Woodlawn Hospital & ER,2610 N. Woodlawn,Wichita,KS,67220,37.7313935,-97.2622875,(316) 858-2610,[Hospital]
Building,West Florida Hospital,8383 N Davis Hwy,Pensacola,FL,32514,30.5159623,-87.2182027,(850) 494-3212,[Hospital]
Building,West Hills Hospital & Medical Center,7300 Medical Center Dr,West Hills,CA,91307,34.2027543,-118.6287765,(818) 676-4000,[Hospital]
Building,West Marion Community Hospital,4600 SW 46th Ct,Ocala,FL,34474,29.1407269,-82.19968180000001,(352) 291-3000,[Hospital]
Building,West Valley Medical Center,1717 Arlington Ave,Caldwell,ID,83605,43.6549682,-116.6935002,(208) 459-4641,[Hospital]
Building,Westside Regional Medical Center,8201 W Broward Blvd,Plantation,FL,33324,26.123543,-80.259512,(954) 473-6600,[Hospital]
